healpix,survey,program,fiber,targetid,ra,dec,wavelength,flux,significance,n_fibers,fwhm_pixels,band
4098,main,bright,17,-246870259,134.49163737180785,1.4848955463522322,5340.000000000396,29.253252029418945,10.872047424316406,2,2,B
4098,main,bright,44,-231061178,134.59777841463506,1.5224378547114403,4564.000000000219,36.21683883666992,8.895601272583008,2,1,B
4098,main,bright,199,-262177471,134.65033437485388,1.3238856308560656,6512.800000000171,8.918191909790039,6.184163570404053,2,2,R
4122,main,bright,54,-231053424,135.72658491494232,5.346335887850869,4264.800000000151,18.9587345123291,5.642540454864502,2,1,B
4122,main,bright,72,-215285449,135.82939917103505,4.694947799613281,3972.0000000000846,26.28969955444336,6.021944522857666,2,1,B
4122,main,bright,72,-215285449,135.82939917103505,4.694947799613281,4517.600000000209,14.930352210998535,5.190004825592041,2,3,B
4122,main,bright,72,-215285449,135.82939917103505,4.694947799613281,4815.200000000276,25.869709014892578,10.735480308532715,2,2,B
4122,main,bright,72,-215285449,135.82939917103505,4.694947799613281,5128.000000000347,14.845942497253418,6.957452297210693,2,2,B
4122,main,bright,72,-215285449,135.82939917103505,4.694947799613281,5333.600000000394,13.173160552978516,6.835874080657959,2,1,B
4122,main,bright,73,-215285505,135.87177785398927,4.789078084212808,4625.600000000233,14.063085556030273,5.449409484863281,2,3,B
4122,main,bright,73,-215285505,135.87177785398927,4.789078084212808,4680.000000000246,13.192106246948242,5.846889019012451,2,2,B
4122,main,bright,73,-215285505,135.87177785398927,4.789078084212808,5596.000000000454,30.871444702148438,17.86029815673828,2,1,B
4122,main,bright,73,-215285505,135.87177785398927,4.789078084212808,5757.600000000491,18.607009887695312,7.855712890625,2,2,B
4122,main,bright,83,-215285212,135.73968196896698,4.290335397915974,4263.200000000151,26.993671417236328,7.693141937255859,2,1,B
4122,main,bright,83,-215285212,135.73968196896698,4.290335397915974,4610.40000000023,15.720542907714844,5.685796737670898,2,1,B
4122,main,bright,86,-215285377,135.5840121609008,4.637706407874409,4074.400000000108,24.67424964904785,6.173503398895264,2,2,B
4122,main,bright,86,-215285377,135.5840121609008,4.637706407874409,4115.200000000117,66.53650665283203,19.979589462280273,2,3,B
4122,main,bright,86,-215285377,135.5840121609008,4.637706407874409,4250.400000000148,24.851991653442383,6.937509059906006,1,2,B
4122,main,bright,86,-215285377,135.5840121609008,4.637706407874409,5177.600000000359,16.212263107299805,7.639336109161377,2,3,B
4122,main,bright,101,-262317190,136.0161500948016,4.619726757821962,3808.8000000000475,52.2153434753418,9.35290813446045,2,2,B
4122,main,bright,101,-262317190,136.0161500948016,4.619726757821962,4451.2000000001935,31.47601318359375,11.082845687866211,1,1,B
4122,main,bright,101,-262317190,136.0161500948016,4.619726757821962,4816.800000000277,13.757852554321289,6.702868461608887,2,2,B
4122,main,bright,101,-262317190,136.0161500948016,4.619726757821962,5128.000000000347,38.849063873291016,18.25147247314453,2,1,B
4122,main,bright,101,-262317190,136.0161500948016,4.619726757821962,5177.600000000359,11.330962181091309,5.336943626403809,2,1,B
4122,main,bright,101,-262317190,136.0161500948016,4.619726757821962,5446.40000000042,10.216582298278809,5.341086387634277,2,2,B
4122,main,bright,112,-262317287,136.2077065514405,4.809079690015862,3732.00000000003,267.3063659667969,31.344568252563477,2,1,B
4122,main,bright,112,-262317287,136.2077065514405,4.809079690015862,3896.0000000000673,119.25602722167969,27.145875930786133,2,2,B
4122,main,bright,112,-262317287,136.2077065514405,4.809079690015862,5662.400000000469,40.44215774536133,18.404531478881836,2,3,B
4122,main,bright,112,-262317287,136.2077065514405,4.809079690015862,5720.800000000482,16.24958610534668,8.47624397277832,1,1,B
4122,main,bright,113,-262317247,136.11944498801952,4.968859399672188,3831.2000000000526,36.26689910888672,5.54319953918457,2,2,B
4122,main,bright,113,-262317247,136.11944498801952,4.968859399672188,5161.600000000355,14.773180961608887,7.527201175689697,1,2,B
4122,main,bright,113,-262317247,136.11944498801952,4.968859399672188,5662.400000000469,18.769588470458984,8.539837837219238,2,1,B
4122,main,bright,113,-262317247,136.11944498801952,4.968859399672188,5780.800000000496,15.91048526763916,6.350920677185059,2,2,B
4122,main,bright,131,-262317251,136.13814145706888,4.801849042517243,3860.000000000059,33.51935958862305,6.272880554199219,2,1,B
4122,main,bright,131,-262317251,136.13814145706888,4.801849042517243,4011.2000000000935,69.71257781982422,16.562870025634766,2,2,B
4122,main,bright,131,-262317251,136.13814145706888,4.801849042517243,4115.200000000117,33.65533447265625,10.136458396911621,2,2,B
4122,main,bright,131,-262317251,136.13814145706888,4.801849042517243,4233.600000000144,39.284584045410156,12.22302532196045,2,1,B
4122,main,bright,131,-262317251,136.13814145706888,4.801849042517243,4464.800000000197,34.89356994628906,11.428908348083496,2,1,B
4122,main,bright,131,-262317251,136.13814145706888,4.801849042517243,4730.400000000257,14.693203926086426,6.556168556213379,2,1,B
4122,main,bright,131,-262317251,136.13814145706888,4.801849042517243,5433.600000000417,19.786588668823242,9.200087547302246,2,1,B
4122,main,bright,152,-245109407,136.16119835838452,4.649786517441997,4449.600000000193,18.762451171875,5.658146381378174,2,2,B
4122,main,bright,152,-245109407,136.16119835838452,4.649786517441997,4517.600000000209,26.08995819091797,9.02946662902832,2,2,B
4122,main,bright,152,-245109407,136.16119835838452,4.649786517441997,5780.800000000496,19.350017547607422,7.704417705535889,2,1,B
4122,main,bright,154,-245109385,136.16632260317397,4.689876744756877,3972.0000000000846,38.801517486572266,8.87338638305664,2,2,B
