file,fiber,ra,dec,wavelength,flux,significance,n_fibers,fwhm_pixels
cframe-b0-00120449.fits,52,164.35274718982978,-1.551850054097915,3899.200000000068,34.29996109008789,5.231625080108643,1,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3604.800000000001,121.7713623046875,8.884847640991211,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3661.600000000014,120.6895980834961,9.83165168762207,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3678.400000000018,92.10979461669922,6.43691873550415,2,3
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3697.600000000022,58.082454681396484,5.3073859214782715,2,4
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3713.600000000026,85.518310546875,6.274802207946777,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3796.8000000000447,38.94194412231445,6.9870100021362305,2,3
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3840.0000000000546,57.79481506347656,5.862254619598389,1,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3841.600000000055,59.22917938232422,8.39948558807373,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3869.6000000000613,35.151405334472656,5.2615156173706055,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3940.8000000000775,56.46702575683594,8.337970733642578,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3964.800000000083,29.45375633239746,5.160766124725342,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3976.0000000000855,49.41578674316406,10.609305381774902,1,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3980.8000000000866,30.7120418548584,6.383544921875,1,3
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,3985.6000000000877,29.53372573852539,5.986226558685303,2,4
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4024.0000000000964,55.845245361328125,9.887127876281738,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4072.0000000001073,53.921653747558594,7.9809064865112305,1,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4100.800000000114,54.2722282409668,10.839813232421875,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4179.200000000132,36.414146423339844,7.8820977210998535,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4217.60000000014,41.95320510864258,9.641034126281738,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4220.800000000141,40.728904724121094,9.121984481811523,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4263.200000000151,51.145545959472656,18.247785568237305,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4284.800000000156,26.648183822631836,7.1300883293151855,1,3
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4294.400000000158,27.531869888305664,5.171884059906006,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4341.600000000169,60.5588493347168,12.537324905395508,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4384.000000000178,35.83616256713867,6.182733535766602,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4460.0000000001955,30.771787643432617,7.253204822540283,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4518.400000000209,30.894203186035156,11.168054580688477,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4582.400000000223,25.564119338989258,6.492207050323486,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4596.800000000227,18.507307052612305,5.565300941467285,1,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4695.200000000249,13.378830909729004,5.198601245880127,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4713.600000000253,45.848609924316406,12.850716590881348,2,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4823.200000000278,27.724632263183594,10.112776756286621,1,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4877.6000000002905,19.442644119262695,6.903544902801514,1,1
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4905.600000000297,17.231822967529297,5.573781490325928,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4911.200000000298,15.565555572509766,5.173971176147461,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,4940.000000000305,17.861345291137695,5.011326313018799,2,3
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5004.800000000319,23.129793167114258,9.06921100616455,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5033.600000000326,13.022995948791504,5.172913074493408,2,3
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5072.800000000335,36.83794403076172,15.796541213989258,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5092.800000000339,15.907596588134766,5.641424655914307,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5143.200000000351,12.660798072814941,5.742868423461914,2,2
cframe-b0-00120449.fits,82,164.21958898531665,-1.6246894475422085,5148.800000000352,37.502723693847656,17.550342559814453,2,2
