file,fiber,ra,dec,wavelength,flux,significance,n_fibers,fwhm_pixels
cframe-r0-00120450.fits,223,164.00482851394287,-1.6858427097897597,6817.6000000002405,11.87852954864502,11.624727249145508,2,1
cframe-z0-00120450.fits,123,164.28193232546377,-1.2279831038005344,8655.200000000259,23.84719467163086,11.476194381713867,2,2
cframe-z0-00120450.fits,257,164.57823257793748,-1.0412282572088278,8114.400000000135,7.054520130157471,7.408977508544922,2,1
cframe-z0-00120450.fits,288,164.35049456313592,-1.2215364500141452,9316.000000000407,164.83975219726562,10.55109691619873,2,1
cframe-z2-00114768.fits,1451,164.2399223586262,-1.2520270782676337,8176.000000000149,10.67418098449707,12.55821704864502,2,2
