sparcl_id,targetid,ra,dec,wavelength_peak,flux_peak,snr,fwhm_angstrom,spectype,is_airglow,notes
007708ea-9d44-11ee-a310-525400ad1336,39628340792918379,210.2512812203899,23.62054237448723,7978.400000000104,11.993415832519531,37.537245305654956,3.2000000000007276,GALAXY,False,CANDIDATE
007708ea-9d44-11ee-a310-525400ad1336,39628340792918379,210.2512812203899,23.62054237448723,8004.00000000011,4.44783353805542,14.40920597247858,4.0000000000009095,GALAXY,False,CANDIDATE
007708ea-9d44-11ee-a310-525400ad1336,39628340792918379,210.2512812203899,23.62054237448723,8165.600000000147,1.7093472480773926,9.894826619647729,4.800000000001091,GALAXY,False,CANDIDATE
007708ea-9d44-11ee-a310-525400ad1336,39628340792918379,210.2512812203899,23.62054237448723,8183.200000000151,1.6473896503448486,9.313333780730405,4.800000000001091,GALAXY,False,CANDIDATE
00771e03-9c2e-11ee-b389-525400ad1336,39627764197756434,216.39776194612676,-1.0059977204234316,4329.600000000166,32.30476379394531,8.995342059876489,4.0000000000009095,GALAXY,False,CANDIDATE
00771e03-9c2e-11ee-b389-525400ad1336,39627764197756434,216.39776194612676,-1.0059977204234316,4581.600000000223,49.57329559326172,21.29699905987784,4.0000000000009095,GALAXY,False,CANDIDATE
00771e03-9c2e-11ee-b389-525400ad1336,39627764197756434,216.39776194612676,-1.0059977204234316,5131.200000000348,110.33950805664062,43.65549640842483,3.2000000000007276,GALAXY,False,CANDIDATE
00771e03-9c2e-11ee-b389-525400ad1336,39627764197756434,216.39776194612676,-1.0059977204234316,5234.400000000372,58.9781494140625,20.817598768395232,4.0000000000009095,GALAXY,False,CANDIDATE
00771e03-9c2e-11ee-b389-525400ad1336,39627764197756434,216.39776194612676,-1.0059977204234316,5284.800000000383,164.91290283203125,53.12701941271773,3.2000000000007276,GALAXY,False,CANDIDATE
00771e03-9c2e-11ee-b389-525400ad1336,39627764197756434,216.39776194612676,-1.0059977204234316,6927.200000000265,326.6824645996094,59.58449181606258,4.0000000000009095,GALAXY,False,CANDIDATE
00771e03-9c2e-11ee-b389-525400ad1336,39627764197756434,216.39776194612676,-1.0059977204234316,6948.80000000027,70.47604370117188,10.534061627108024,3.2000000000007276,GALAXY,False,CANDIDATE
00771e03-9c2e-11ee-b389-525400ad1336,39627764197756434,216.39776194612676,-1.0059977204234316,7089.600000000302,47.0098762512207,26.21559144938857,4.0000000000009095,GALAXY,False,CANDIDATE
00771e03-9c2e-11ee-b389-525400ad1336,39627764197756434,216.39776194612676,-1.0059977204234316,7104.000000000306,38.96614074707031,20.308233210995535,4.0000000000009095,GALAXY,False,CANDIDATE
00771e03-9c2e-11ee-b389-525400ad1336,39627764197756434,216.39776194612676,-1.0059977204234316,9572.000000000466,32.891483306884766,26.77408032126668,4.800000000001091,GALAXY,False,CANDIDATE
007724bf-9d5e-11ee-b904-525400ad1336,39633289698347355,180.72983795106617,52.722820493978396,7844.800000000074,5.0602312088012695,9.202318941103886,1.6000000000003638,GALAXY,False,CANDIDATE
0077637e-9b95-11ee-9b97-525400ad1336,39633456304489034,269.4666666720644,66.1400316974935,7149.600000000316,13.180635452270508,16.86604456718466,4.0000000000009095,GALAXY,False,CANDIDATE
007765d1-9d34-11ee-b3a9-525400ad1336,39627787752964515,180.26582890522002,0.04456812735715675,8216.80000000016,2.8598532676696777,9.318352984122809,4.0000000000009095,GALAXY,False,CANDIDATE
00777a43-9c1c-11ee-bf88-525400ad1336,39627152932471076,163.44877169472477,-27.16170678293177,8692.800000000267,1.8176084756851196,10.095741711027609,4.0000000000009095,GALAXY,False,CANDIDATE
007791f8-9b3c-11ee-bc41-525400ad1336,39633158383078348,245.9256398325609,44.45444344059567,7774.400000000058,30.98526382446289,22.439413881118895,4.0000000000009095,GALAXY,False,CANDIDATE
007791f8-9b3c-11ee-bc41-525400ad1336,39633158383078348,245.9256398325609,44.45444344059567,7956.000000000099,9.82701587677002,9.247543846158795,4.800000000001091,GALAXY,False,CANDIDATE
0077bc0f-9b85-11ee-b1f7-525400ad1336,39632966913102233,253.24223842680365,34.21865312229095,7864.800000000078,3.118562698364258,8.120532959853978,2.4000000000005457,GALAXY,False,CANDIDATE
0077c06d-9be4-11ee-a6e1-525400ad1336,39633263869823191,215.85849436700673,51.08521095720772,8146.400000000142,2.7115261554718018,10.9556235828727,4.800000000001091,GALAXY,False,CANDIDATE
0077d196-9b1f-11ee-aeb0-525400ad1336,39633136425896059,234.93848808726426,43.34767924033822,7239.200000000336,6.829636573791504,12.428861453715331,4.800000000001091,GALAXY,False,CANDIDATE
007821b9-9c6c-11ee-947f-525400ad1336,39627939045704236,210.18919912383842,6.1788688657633655,4665.600000000242,10.678722381591797,11.768574941609216,2.4000000000005457,GALAXY,False,CANDIDATE
007821b9-9c6c-11ee-947f-525400ad1336,39627939045704236,210.18919912383842,6.1788688657633655,6082.400000000073,5.402286052703857,8.092136144325522,3.2000000000007276,GALAXY,False,CANDIDATE
007821b9-9c6c-11ee-947f-525400ad1336,39627939045704236,210.18919912383842,6.1788688657633655,6264.000000000115,10.847420692443848,15.096096996569743,3.2000000000007276,GALAXY,False,CANDIDATE
007821b9-9c6c-11ee-947f-525400ad1336,39627939045704236,210.18919912383842,6.1788688657633655,8211.200000000157,13.12950325012207,25.280197023979746,3.2000000000007276,GALAXY,False,CANDIDATE
00785c7e-9d2f-11ee-88dd-525400ad1336,39632976400614816,217.74670169687792,34.77896251865136,9156.000000000371,2.5794386863708496,8.501246870154468,4.800000000001091,GALAXY,False,CANDIDATE
0078b659-9cd4-11ee-9124-525400ad1336,39633099528605268,152.4643308674139,41.14468482353511,4300.000000000159,23.069095611572266,18.058261220247203,2.4000000000005457,GALAXY,False,CANDIDATE
0078b659-9cd4-11ee-9124-525400ad1336,39633099528605268,152.4643308674139,41.14468482353511,5605.600000000456,11.554652214050293,17.251307447272293,3.2000000000007276,GALAXY,False,CANDIDATE
0078b659-9cd4-11ee-9124-525400ad1336,39633099528605268,152.4643308674139,41.14468482353511,5718.400000000482,9.336861610412598,12.220047882718783,4.0000000000009095,GALAXY,False,CANDIDATE
0078b659-9cd4-11ee-9124-525400ad1336,39633099528605268,152.4643308674139,41.14468482353511,5773.600000000494,22.238922119140625,31.28297849005193,3.2000000000007276,GALAXY,False,CANDIDATE
