sparcl_id,targetid,ra,dec,wavelength_peak,flux_peak,snr,fwhm_angstrom,spectype,is_airglow,notes,wave_bin
000ec772-9d02-11ee-aab6-525400ad1336,234514848677889,150.48830058690575,1.2215198451433895,7195.200000000326,22.33785820007324,74.24584467346831,2.4000000000005457,GALAXY,False,CANDIDATE,7150.0
000ec772-9d02-11ee-aab6-525400ad1336,234514848677889,150.48830058690575,1.2215198451433895,5489.60000000043,20.410648345947266,68.72441378017186,2.4000000000005457,GALAXY,False,CANDIDATE,5450.0
0027e730-9be7-11ee-bce8-525400ad1336,39628517314400472,196.04223511999612,31.6823312147062,5649.600000000466,93.18952941894533,54.53970616307835,2.4000000000005457,GALAXY,False,CANDIDATE,5600.0
0039a2b2-9d06-11ee-b97b-525400ad1336,39627805096414741,134.18625374128658,0.6857873325721044,5299.200000000386,195.08351135253903,51.38439331087542,2.4000000000005457,GALAXY,False,CANDIDATE,5250.0
00396ee5-9b4e-11ee-aba9-525400ad1336,39627706727401785,30.361594573207515,-3.370417207401959,5264.000000000378,119.72956848144533,49.039092773046654,2.4000000000005457,GALAXY,False,CANDIDATE,5250.0
0039a2b2-9d06-11ee-b97b-525400ad1336,39627805096414741,134.18625374128658,0.6857873325721044,6945.60000000027,157.36209106445312,46.63895904550404,2.4000000000005457,GALAXY,False,CANDIDATE,6900.0
003f3752-9cb8-11ee-ba3d-525400ad1336,39627997694657850,132.78813784800855,8.7188568315316,9502.40000000045,236.90013122558597,46.24146423797498,2.4000000000005457,STAR,False,CANDIDATE,9500.0
00101a6d-9b07-11ee-aef5-525400ad1336,39627758103432254,213.1421833226613,-1.3172043174004748,5472.800000000426,68.17292785644531,44.58748989629234,2.4000000000005457,GALAXY,False,CANDIDATE,5450.0
001ba6c9-9d48-11ee-a178-525400ad1336,39627811907964923,180.19829114447927,0.8950393665607939,7215.200000000331,16.56562614440918,44.20219027952037,2.4000000000005457,GALAXY,False,CANDIDATE,7200.0
004bb466-9be6-11ee-8a12-525400ad1336,39628521584200098,134.85381656359107,32.06391464099767,7003.200000000283,13.106136322021484,42.787269991478496,2.4000000000005457,GALAXY,False,CANDIDATE,7000.0
003cdc77-9bd6-11ee-90dc-525400ad1336,39627800373628335,212.69187589964352,0.4415583299320223,6678.400000000209,99.22949981689452,42.37112860406718,2.4000000000005457,GALAXY,False,CANDIDATE,6650.0
003399ca-9bdc-11ee-97d6-525400ad1336,39627823480046780,149.80658054159602,1.5837234897935413,7175.200000000322,73.07551574707031,42.33758734225974,2.4000000000005457,GALAXY,False,CANDIDATE,7150.0
001cd92f-9b72-11ee-aaba-525400ad1336,39633453825658473,266.5383404923916,66.07416590753107,7151.200000000316,35.09386444091797,40.961827073356936,2.4000000000005457,GALAXY,False,CANDIDATE,7150.0
0028ad3a-9d19-11ee-8ec9-525400ad1336,39627751509987674,180.20434109217743,-1.3975488439962551,6696.000000000213,19.38563346862793,38.90564378791596,2.4000000000005457,GALAXY,False,CANDIDATE,6650.0
000ec772-9d02-11ee-aab6-525400ad1336,234514848677889,150.48830058690575,1.2215198451433895,4088.000000000111,19.41163825988769,38.42489683549295,2.4000000000005457,GALAXY,False,CANDIDATE,4050.0
0067624f-9b48-11ee-ac95-525400ad1336,39633109787869577,246.15180383345185,41.77808683736408,6751.200000000225,28.119590759277344,37.77181225568551,2.4000000000005457,GALAXY,False,CANDIDATE,6750.0
00498ce4-9bfd-11ee-9451-525400ad1336,39627764273254925,220.9250457979929,-1.0834702392016848,7106.400000000306,26.71057510375977,37.46515363833987,2.4000000000005457,GALAXY,False,CANDIDATE,7100.0
0017a5f3-9b24-11ee-b0ac-525400ad1336,39627788319198751,214.1496455279953,0.034867895852463,6913.600000000262,25.763202667236328,37.38074904990968,2.4000000000005457,GALAXY,False,CANDIDATE,6900.0
003cdc77-9bd6-11ee-90dc-525400ad1336,39627800373628335,212.69187589964352,0.4415583299320223,5095.20000000034,126.162109375,36.78841299477125,1.6000000000003638,GALAXY,False,CANDIDATE,5050.0
00000b43-9caa-11ee-9f5c-525400ad1336,39627830648111502,217.0183747741877,1.6390539095168433,6754.400000000226,101.84940338134766,36.40717953222872,2.4000000000005457,GALAXY,False,CANDIDATE,6750.0
00033d7c-9b84-11ee-8bd3-525400ad1336,39633421911195991,189.9026215050851,63.02304013315256,5560.800000000446,37.20565032958984,35.89392765395582,2.4000000000005457,GALAXY,False,CANDIDATE,5550.0
00896c94-9cf9-11ee-bd31-525400ad1336,39632955240351970,135.79902481414504,33.78199391664376,6852.8000000002485,24.10013008117676,35.16252865142035,2.4000000000005457,GALAXY,False,CANDIDATE,6850.0
00358753-9b1c-11ee-808c-525400ad1336,39633461132135916,268.6509660698273,66.73160005229552,7288.000000000347,135.55746459960938,34.63553492002243,1.6000000000003638,STAR,False,CANDIDATE,7250.0
001cd92f-9b72-11ee-aaba-525400ad1336,39633453825658473,266.5383404923916,66.07416590753107,5455.200000000422,53.84317398071289,34.56860654660021,2.4000000000005457,GALAXY,False,CANDIDATE,5450.0
0082623b-9d23-11ee-af0d-525400ad1336,39633136421700963,234.53540397940597,43.239197074528505,5180.800000000359,160.29916381835938,34.200223236716326,2.4000000000005457,GALAXY,False,CANDIDATE,5150.0
008e4772-9bf1-11ee-9fc5-525400ad1336,39628022197781419,171.17849870690574,9.826063237823387,7076.800000000299,17.522783279418945,34.14647156973037,2.4000000000005457,GALAXY,False,CANDIDATE,7050.0
