targetid,wavelength,snr,ra,dec,tile,verdict,reason
616094299527839879,6132.000000000085,79.34906005859375,211.62066592012675,78.6411410697778,80958,AMBIGUOUS,"Intermediate (w1=0.33, w2=0.01)"
616094299519451577,6216.800000000104,71.13574981689453,209.43259690748692,78.71426590770398,80958,COSMIC_RAY,Sharp (w1=0.08)
616094299519451560,7583.200000000415,30.75230407714844,210.06174179014923,78.71231332993821,80958,AMBIGUOUS,"Intermediate (w1=0.24, w2=0.19)"
616094299523646516,7424.000000000378,30.24574089050293,210.4788268067601,78.84930852312765,80958,AMBIGUOUS,"Intermediate (w1=0.51, w2=-0.02)"
616094298315686828,6917.600000000263,28.801902770996094,210.92855589334744,78.56706071099497,80958,AMBIGUOUS,"Intermediate (w1=0.35, w2=-0.14)"
616094304078659606,7427.200000000379,28.34203147888184,209.5819044415583,79.62596900699396,80958,AMBIGUOUS,"Intermediate (w1=0.27, w2=-0.00)"
616094298311491888,5911.200000000034,27.640470504760746,209.96253119974057,78.43050521919692,80958,COSMIC_RAY,Sharp (w1=0.03)
616094301855679681,5974.400000000049,27.49739456176757,210.6816479019941,79.37325935783527,80958,COSMIC_RAY,Sharp (w1=0.10)
616094302979752979,6550.40000000018,27.486778259277344,210.01597162604787,79.58889539179776,80958,KNOWN_LINE,ASTRO_6548
616094299523645952,6042.400000000064,27.15397071838379,210.66656453040724,78.72946322875042,80958,AMBIGUOUS,"Intermediate (w1=0.35, w2=-0.10)"
616094299519452090,7359.200000000364,26.86620140075684,209.88092988101027,78.82149980307075,80958,COSMIC_RAY,Sharp (w1=0.12)
616094299519451246,5977.6000000000495,26.662841796875,210.0263126680213,78.6428637560395,80958,AMBIGUOUS,"Intermediate (w1=0.38, w2=-0.03)"
616094298311492684,6932.0000000002665,25.44526100158692,210.28230569282988,78.6084651752996,80958,AMBIGUOUS,"Intermediate (w1=0.37, w2=-0.11)"
616094304078660021,6026.400000000061,25.333965301513672,209.78940559176715,79.71386521406663,80958,AMBIGUOUS,"Intermediate (w1=0.33, w2=-0.03)"
616094299523646160,7437.600000000381,24.83404922485352,210.71223981221027,78.77439010001096,80958,AMBIGUOUS,"Intermediate (w1=0.43, w2=-0.03)"
616094299519451577,6211.200000000103,24.419809341430664,209.43259690748692,78.71426590770398,80958,COSMIC_RAY,Sharp (w1=0.08)
616094300706439679,6234.400000000108,21.68674659729004,211.55433710575232,78.97997390252,80958,COSMIC_RAY,Sharp (w1=0.02)
616094184717156732,6711.200000000216,58.33070373535156,144.39900964655567,63.9487014285318,80621,COSMIC_RAY,Sharp (w1=-0.02)
616094190001979999,6914.400000000263,39.16570663452149,144.0245464890654,64.49870345438312,80621,COSMIC_RAY,Sharp (w1=0.02)
-809740129,7591.200000000416,49.301212310791016,214.05221561964944,-0.8309582570108237,80974,COSMIC_RAY,Sharp (w1=0.00)
616094302044422703,5916.800000000036,47.1713752746582,270.0005467339517,79.23150552542094,80970,AMBIGUOUS,"Intermediate (w1=0.30, w2=0.03)"
616094302044422703,6447.200000000156,23.942426681518555,270.0005467339517,79.23150552542094,80970,COSMIC_RAY,Sharp (w1=0.14)
616094298164691677,5879.200000000027,42.22102737426758,166.45430759026078,78.52445842820994,80949,AMBIGUOUS,"Intermediate (w1=0.19, w2=-0.01)"
616094302837146023,6764.8000000002285,34.74319839477539,164.99645438757707,79.45937024515294,80949,AMBIGUOUS,"Intermediate (w1=0.33, w2=-0.08)"
616094300551250866,7075.200000000299,34.040565490722656,164.4406142396133,79.0750126926234,80949,COSMIC_RAY,Sharp (w1=0.08)
616094299376845511,6444.000000000156,30.83482360839844,166.99493269815216,78.77070334009679,80949,COSMIC_RAY,Sharp (w1=0.15)
616094301708879034,7530.400000000402,26.04955291748047,164.66515748893784,79.373519439483,80949,AMBIGUOUS,"Intermediate (w1=0.27, w2=-0.02)"
616094301708878878,6447.200000000156,25.00633430480957,165.2983641545204,79.34422034121434,80949,AMBIGUOUS,"Intermediate (w1=0.19, w2=-0.02)"
616094298152108390,6115.200000000081,23.06822204589844,163.69514568101852,78.45107859650356,80949,AMBIGUOUS,"Intermediate (w1=0.15, w2=-0.07)"
616094298156302677,5816.000000000013,22.738658905029297,164.2452442484756,78.44175726660984,80949,AMBIGUOUS,"Intermediate (w1=0.44, w2=0.03)"
616094302837146444,5804.00000000001,22.429706573486328,164.95258172512422,79.55566024279518,80949,AMBIGUOUS,"Intermediate (w1=0.44, w2=-0.04)"
616094300555444540,5990.400000000052,22.39932441711425,165.7216056634474,78.94083156414058,80949,COSMIC_RAY,Sharp (w1=-0.09)
616094299376844918,6289.60000000012,22.26525115966797,166.9335214113471,78.64847344992504,80949,COSMIC_RAY,Sharp (w1=0.01)
616094298152108629,7194.400000000326,21.350772857666016,163.9132816554344,78.49732378029624,80949,AMBIGUOUS,"Intermediate (w1=0.15, w2=-0.09)"
616094299368457132,7457.600000000386,20.73634910583496,163.7517210830479,78.81917331592248,80949,REAL_SIGNAL,"Gaussian (w1=0.46, w2=0.21)"
616094270469702620,5976.800000000049,34.19135284423828,195.7573603461473,73.83592512258205,80954,AMBIGUOUS,"Intermediate (w1=0.36, w2=-0.03)"
616094277075731026,7149.600000000316,33.47418594360352,195.08031343742184,74.74139703239922,80954,AMBIGUOUS,"Intermediate (w1=0.17, w2=-0.09)"
616094275460923732,5969.600000000048,29.15460205078125,195.1000117635236,74.43632985957107,80954,AMBIGUOUS,"Intermediate (w1=0.44, w2=-0.06)"
