targetid,fiber,ra,dec,wavelength,flux,snr,width_pixels,tile,camera
616088381360702509,96,66.73368979059998,-6.40113134498838,6565.600000000183,81.46575164794922,14.105677604675293,2,80612,R
616088387366944895,97,66.71186884310212,-6.3582557091330605,6565.600000000183,63.55979919433594,11.884756088256836,2,80612,R
616094190006174777,107,144.2663685398671,64.59654174215231,6660.800000000205,66.52850341796875,15.314643859863281,2,80621,R
616094190001979999,143,144.0245464890654,64.49870345438312,6914.4000000002625,296.9068298339844,39.165706634521484,2,80621,R
616094184717156732,381,144.39900964655567,63.9487014285318,6711.200000000216,620.030517578125,58.33070373535156,2,80621,R
616094184717156653,384,144.55332908771072,63.932918759690615,7005.600000000283,94.48387908935547,15.69015121459961,2,80621,R
616094182036996977,472,144.47621635474187,63.80623498504606,6279.200000000118,58.50621795654297,11.278453826904297,3,80621,R
616088338884985050,157,36.04657954674128,-8.329139330308873,5856.000000000022,1258.8126220703125,12.587113380432129,2,80635,R
616088332899714052,394,35.75154355344379,-8.407680389325176,7590.400000000416,1085.1082763671875,10.850314140319824,2,80635,R
616088356844994739,441,35.97607076397824,-7.589977774034817,5766.4000000000015,1310.120361328125,13.100469589233398,2,80635,R
616089253385864335,494,145.2399547996847,31.122294777247678,6628.000000000197,24.17935562133789,14.220659255981445,3,80651,R
616093762216526435,269,149.43859385840966,36.496324483793096,5952.800000000044,22.721410751342773,15.57759952545166,2,80652,R
616093752452186540,457,149.72084403456589,35.966095111889686,6906.400000000261,17.295406341552734,13.623943328857422,2,80652,R
616088041978594241,254,85.72497815986851,-20.925366376661422,6564.800000000183,5.42383337020874,11.579977989196777,3,80673,R
616088041978594030,270,85.73324092541245,-20.96815926349617,6564.800000000183,5.05352783203125,10.470083236694336,2,80673,R
616088053278048864,424,85.50097080077373,-20.501634131148833,6564.800000000183,6.0622663497924805,12.70617961883545,2,80673,R
616088053278048940,448,85.44938054574041,-20.48460664552643,6564.800000000183,6.212437152862549,13.063858032226562,2,80673,R
616089263729018022,280,144.87679050571637,31.62367640550278,7184.800000000324,2701.5322265625,27.01496124267578,2,80697,R
616089258570023811,352,145.36454301488385,31.313555014755714,5760.8,19519.30078125,10.238656044006348,2,80697,R
616089258570023811,352,145.36454301488385,31.313555014755714,5763.200000000001,21801.966796875,11.436005592346191,2,80697,R
616089258570023811,352,145.36454301488385,31.313555014755714,5765.600000000001,29494.84375,15.471227645874023,2,80697,R
616089258570023811,352,145.36454301488385,31.313555014755714,5769.600000000002,58059.03125,30.454288482666016,2,80697,R
616089258570023811,352,145.36454301488385,31.313555014755714,5771.200000000003,45420.80078125,23.825031280517578,2,80697,R
616089258570023811,352,145.36454301488385,31.313555014755714,5772.800000000003,24612.01953125,12.909990310668945,2,80697,R
616089258570023811,352,145.36454301488385,31.313555014755714,5787.200000000006,23346.0390625,12.245933532714844,2,80697,R
616089258570023811,352,145.36454301488385,31.313555014755714,5798.400000000009,19425.076171875,10.189230918884277,3,80697,R
616089258570023811,352,145.36454301488385,31.313555014755714,7612.000000000421,27576.3671875,14.464909553527832,3,80697,R
616094173778411628,210,133.44945209901755,62.89869210589247,6446.400000000156,19.775638580322266,10.6502103805542,2,80720,R
616088533139980891,46,128.18864472888117,-0.24639734799181479,6268.0000000001155,14.436860084533691,12.633308410644531,3,80722,R
616088545227964729,143,128.50888272345355,0.18053327440509118,7278.400000000345,20.265913009643555,11.801734924316406,2,80722,R
616094027074241255,6,173.47044805780826,51.776835539080245,7136.000000000313,20.05776596069336,23.59756088256836,2,80730,R
616094023320338909,326,174.13393258064212,51.46908727436089,5920.000000000036,26.004365921020508,17.68439483642578,2,80730,R
616088587863064741,19,149.81751022626216,1.9062249581935569,6826.4000000002425,29.94095230102539,14.629914283752441,2,80742,R
616088587871454220,208,150.34874621336866,2.0879516563615614,6431.200000000153,52.127235412597656,18.01138687133789,2,80742,R
616088581823267092,222,149.7717209884839,1.6714337242367179,7016.000000000286,19.13518524169922,11.350540161132812,2,80742,R
616088593907056643,236,150.2307093742328,2.1264562978272417,7020.0000000002865,22.835750579833984,12.949466705322266,2,80742,R
616088593911251607,279,150.2570447485494,2.260729936259671,5928.000000000038,29.82286834716797,11.631075859069824,3,80742,R
616088593911251607,279,150.2570447485494,2.260729936259671,6123.200000000083,44.84811782836914,19.176921844482422,3,80742,R
616088581835849935,331,150.51167413356686,1.659715996685212,6388.000000000143,30.74651527404785,14.965304374694824,3,80742,R
616088581835849935,331,150.51167413356686,1.659715996685212,6424.000000000151,42.13433837890625,18.02271270751953,2,80742,R
616088575796052448,333,150.56533910584852,1.4663394870486326,6516.800000000172,29.93120002746582,13.504307746887207,3,80742,R
616088575791858799,337,150.3875591168056,1.6126962048337246,5870.400000000025,33.44995880126953,11.961736679077148,3,80742,R
616088575791858799,337,150.3875591168056,1.6126962048337246,6039.2000000000635,25.18720054626465,10.935591697692871,2,80742,R
616088575796052702,348,150.5014161984194,1.524195065748948,7362.400000000364,23.059011459350586,11.67846965789795,2,80742,R
616088587871453731,354,150.33826156750385,1.9851893147773039,6768.800000000229,24.62639617919922,13.319028854370117,3,80742,R
616088581823266934,357,149.90452354441803,1.6475651683079136,7186.400000000324,19.76226043701172,11.358502388000488,2,80742,R
616088575783469565,363,149.85836477661815,1.473836328614862,6601.600000000191,24.6663761138916,13.247085571289062,3,80742,R
616094233102648438,3,120.01976196852767,69.1101952265005,6892.800000000258,19.38344383239746,18.07820701599121,2,80938,R
616094230904832619,61,119.97120167247674,68.74953955350735,6980.800000000278,14.904592514038086,14.2662353515625,2,80938,R
616094233098453973,106,119.75995721085583,69.084055509423,7246.400000000338,19.094924926757812,13.537124633789062,3,80938,R
616094233102647961,243,120.46029161153115,69.01118810654755,6790.400000000234,20.112667083740234,18.87143325805664,3,80938,R
616094233102647961,243,120.46029161153115,69.01118810654755,6792.000000000235,10.747864723205566,10.465203285217285,2,80938,R
616094235279491484,258,120.60647789245422,69.20624122464791,6294.4000000001215,16.702865600585938,11.221871376037598,2,80938,R
616094228677657389,372,119.6182172179279,68.54113004876915,7240.800000000337,21.479339599609375,17.157678604125977,3,80938,R
616094233283002390,81,149.79101312101545,68.87643421134986,6426.4000000001515,11.897367477416992,10.966424942016602,3,80944,R
616094231085187639,92,149.74233946659908,68.7411139552874,6925.600000000265,13.061722755432129,13.491312026977539,3,80944,R
