rank,targetid,gaia_source_id,S,delta_rv_kms,rv_err_median_kms,n_epochs,mjd_span_days,rv_median_kms
147,39627669351962252,6911632144918758784,33.3232,37.2185,0.7825,2,2.0086,-3.2581
148,39633453209093445,1056775814123195904,33.2125,14.3584,0.3055,2,53.7842,-84.1701
149,39633204398787793,1506969475727561344,33.0947,30.8718,0.5290,3,133.6223,-81.6889
150,39633543365657103,1128693735825108224,33.0629,33.6390,0.7194,2,23.8046,-180.6829
151,39627939007958211,3720403304333753984,33.0420,62.1453,1.3299,2,26.9315,20.7822
152,39633275135724575,1512484797851551360,33.0406,54.4154,1.1627,2,137.6200,-55.8336
153,39627648653070030,3776513792176395008,33.0256,20.9764,0.4448,2,94.7519,310.9690
154,39627879557890995,4386207347853564032,32.8019,91.0275,1.8719,2,2.0012,25.8558
155,39627651756855131,2634874891778180096,32.5884,37.7675,0.8172,2,26.9403,-10.6349
156,39633283268480642,2125287531892334464,32.5852,145.9631,3.1233,2,357.0277,-325.3116
157,39628046591853795,3727042434715657728,32.4713,28.2276,0.6079,2,54.8324,24.8138
158,39628205740532524,4550366667263829632,32.3733,42.1823,0.9167,2,5.9707,-54.3789
159,39627678734615325,3777636870289503104,32.1928,46.1113,1.0098,2,21.9331,82.2414
160,39627630764364072,3784780917026925056,31.8233,85.3197,1.0031,3,70.7981,66.7444
161,39633204377813535,1506356326196332160,31.6401,54.0716,1.1989,2,2.0037,-16.4364
162,39633355087545572,1034954077429277056,31.3102,16.1987,0.3546,2,27.0280,1.3792
163,39628112484369353,4542290037100906624,31.0176,27.3199,0.5929,2,0.9699,-11.2444
164,39633270396158453,982740439185336320,30.9759,61.3331,1.3749,2,34.9501,38.0138
165,39627796573590861,2651315369457181312,30.8693,33.7358,0.7727,2,6.9800,-46.9959
166,39633258962486502,983062351278301056,30.7286,55.3135,1.2709,2,34.9501,-53.9681
167,39627891578769254,4434647225971342464,30.4930,107.7864,2.3894,2,0.9874,-79.8612
168,39633278881238370,1512540735505666304,30.3320,13.6228,0.3167,2,83.7660,-21.7331
169,39627687299389326,6914602540006194304,30.2210,39.7169,0.7750,3,2.9774,-21.6534
170,39628268277596409,1204078692569394176,30.1092,24.2419,0.5531,2,11.9725,-23.1862
171,2803954664603648,1506699373824150528,29.9272,23.1633,0.5422,2,25.9322,-29.8294
172,39628029516844695,4444333717250993408,29.9114,71.7369,1.6952,2,0.9918,-28.7883
173,39633030855264101,4609816646799572992,29.8824,54.6205,1.2826,2,1.9877,-35.2554
174,39632929915145446,700288679536492800,29.8785,28.0292,0.6620,2,77.7700,-152.6116
175,39633364772195587,1035173915331250816,29.8714,10.3785,0.2423,2,27.0280,-26.9712
176,39627764105481689,3659605121681544320,29.8473,33.6092,0.7946,2,245.3230,-14.2337
177,39633255137283773,982404572742803840,29.5377,88.2524,2.0744,2,34.9501,-26.4615
178,39627992959290813,3722011683687312640,29.5222,27.5830,0.6590,2,54.8324,-23.7078
179,39627992904763055,3724858525449696768,29.4192,25.7971,0.6161,2,0.9924,-5.2115
180,39633228151129664,832680290522153216,29.3760,18.4228,0.4191,2,27.9355,-8.8613
181,39627849325352593,4433798132410986752,29.1312,30.3814,0.7236,2,8.9991,-25.9606
182,39632961045269548,1515111737287519232,29.0509,27.7802,0.6747,2,12.1095,83.8222
183,39627885304086750,4424657617370397952,28.9335,40.3370,0.9746,2,2.9627,-29.1270
184,39627896775511998,3716200975187964800,28.7197,10.4493,0.2554,2,70.7876,5.6888
185,2803286700720128,4542617141810600704,28.6908,25.8018,0.6267,2,1.9594,-211.2591
186,39627939054096304,3672550496708627712,28.6276,78.6838,1.9430,2,358.9983,83.8530
187,2803060057309184,4437311106423251968,28.4717,30.3977,0.7448,2,0.9946,-198.0204
188,39627855121877971,4424294125698238592,28.3307,44.4040,1.0940,2,2.9627,-50.1469
189,39627796573589366,2652073040343288832,28.3036,17.5323,0.4380,2,1.9689,-23.0242
190,2802981485412352,4422934407771972352,28.2788,13.6302,0.3302,2,6.9937,-22.7394
191,39633450201779535,1101072629346846592,28.2740,40.9960,0.9223,3,144.8014,-64.9151
192,2804080258842624,843718223329859456,28.2590,26.8605,0.6532,2,0.9956,-249.4713
193,39627570861310261,3783084366289970176,28.2536,25.5841,0.6402,2,8.0142,22.8318
194,39633445780981279,1677422567197009408,28.2442,33.2094,0.8255,2,54.8928,-60.0689
195,39628216838655178,1202815697306297728,28.1538,22.0536,0.5290,2,11.9725,34.1233
196,39627909060627271,3669509835957412864,28.1325,82.4543,2.0548,2,2.9644,-46.8968
197,39627760536131096,2641557723452902016,28.1035,62.6669,1.5624,2,9.9696,-187.1034
198,39627896792288302,3713198964846951552,27.9526,26.5941,0.5741,3,13.9841,-33.8206
199,39627766550759794,2641750889605769600,27.9481,33.0283,0.8356,2,9.9696,-14.9616
200,2803011726344192,4423364763498212992,27.9057,12.2127,0.3041,2,2.9627,30.8496
