rank,targetid,gaia_source_id,S,delta_rv_kms,rv_err_median_kms,n_epochs,mjd_span_days,rv_median_kms
72,39627830333538397,3691297139898253696,46.1767,51.2244,0.7844,2,7.9845,69.2437
73,39628410707773350,682968523837145856,45.5945,33.3690,0.5139,2,30.9200,-55.2886
74,39628153542414319,4548794782247806592,45.5713,343.0304,5.2633,2,1.9525,-214.3203
75,39627612473003116,,45.1586,302.2226,3.9917,3,5.0006,-114.9885
76,39628390692555379,1222913326751953024,44.8084,56.2642,0.8879,2,360.0102,-98.0021
77,39628149373275692,2780511009377599872,44.7124,52.5134,0.8216,2,29.9044,12.5448
78,39628251638797648,4552338125971674752,44.6012,42.0169,0.6640,2,46.8729,-228.5483
79,39627935539269523,2745376772444159488,44.3927,49.5736,0.6965,3,43.9039,-219.1971
80,2803032425234432,2515098836692180864,44.0286,18.7544,0.3008,2,84.7733,135.1324
81,39627611000804341,3196092633351137280,43.8884,557.9532,7.4480,3,44.8053,262.7178
82,39627720727987709,3827093418703158272,43.7508,93.3597,0.7499,7,102.7287,114.4681
83,39628017550494456,4445986940359301376,43.4637,114.9747,1.3396,4,366.0244,-1.0909
84,39627895827599236,3851353150632492032,43.2471,29.3796,0.4167,3,135.6305,12.5027
85,39627577207296610,3675054638736773376,43.0873,56.6740,0.9301,2,0.9885,35.9028
86,39633135633172113,783793323490985216,42.8926,208.7672,3.4151,2,5.9637,13.2787
87,39627740160198156,6340395962632810496,42.3514,23.0599,0.3844,2,30.9042,-62.5572
88,39628523178036863,1324477513614904960,41.8585,39.2340,0.6531,2,30.9001,-306.1090
89,39627746271297716,4418142117622280192,41.8443,62.8666,1.0514,2,1.9795,-62.8948
90,39628195980381186,2784613837016435456,41.7296,35.1734,0.5905,2,30.9270,-89.1660
91,39627908427285828,3896577640136035584,41.5584,48.4052,0.6051,3,13.9551,225.8375
92,39627808472832544,2679227094898602496,41.4713,22.3920,0.3813,2,7.0019,-318.2414
93,39628051222364390,602361299180812800,41.3207,32.3500,0.3828,3,139.6182,61.8239
94,39627763291785209,3803133758958356096,41.0903,362.8555,6.2407,2,31.9086,120.3185
95,39627785597094906,3264316707082513408,40.9721,40.2085,0.6700,2,2.9908,-76.5596
96,39632981127598108,1473318613122088448,40.9116,39.5232,0.5539,3,30.9022,-81.6122
97,39627691212670830,3597225325912018944,40.7282,148.3938,2.5763,2,46.8751,157.8297
98,39627792911962558,3076964087533393408,40.7030,586.1463,8.1190,3,4.9987,-308.3860
99,39628139566990691,655297522725970048,40.7027,27.4803,0.4735,2,17.9453,302.1341
100,2802987349049344,1153395398414295936,40.6821,23.2330,0.3920,2,4.9685,45.5536
101,39633015336339322,1520074383019788672,40.1772,74.1645,1.0198,3,346.0720,-125.8771
102,39627634937694383,3244963210786057984,40.0375,114.3295,1.1627,4,78.7708,-25.7609
103,39627793041985967,3843110008879900032,39.2889,42.7996,0.4235,6,87.7770,90.8521
104,39627700603716437,2481263080038907648,38.9000,71.6657,1.3021,2,1.9801,-194.9995
105,39627700876349936,5185714410492461056,38.8265,35.7916,0.6486,2,87.7817,-99.6430
106,39636616326677411,1729951121034767488,38.3370,44.9604,0.6954,3,118.6983,-109.1154
107,39627977599746474,2751843515722446208,38.1853,487.4538,5.4631,4,45.8728,92.5181
108,39627474241328159,3177675981087624448,38.0879,499.4239,6.9628,3,57.8162,-34.4629
109,39627847861536737,3809483610408135680,37.7957,44.9607,0.8334,2,2.9766,125.2229
110,39627722045000955,,37.7715,439.9387,8.1702,2,5.9909,-113.3159
111,39627941520344715,2746076852112482688,37.7311,61.4953,0.9402,3,25.9416,-81.6053
112,39627690793241518,3778257785121736320,37.5659,399.3159,7.5059,2,102.7143,-90.3423
113,39627821743605858,584630948352256,37.2286,40.1737,0.7550,2,94.7510,-109.7268
114,39633076870973106,768044606129803008,37.2250,394.8728,7.4921,2,67.8143,191.6422
115,39627743641471118,3226218285583124992,37.1393,493.0910,6.8748,3,9.9566,-53.6216
116,39632976157345820,1472949623891199872,37.1042,54.2173,0.8601,3,29.9277,-41.3663
117,39627702587621829,3825578502133693696,37.0439,44.6859,0.8473,2,1.9915,35.4312
118,2802896177463296,3683402852569418880,36.9125,22.0708,0.2826,4,28.9406,153.3254
119,39627763618941135,3697864724713609600,36.9120,85.1614,1.3883,3,19.9448,45.7623
120,39632987070929093,4605421967543999488,36.8096,156.9563,3.0131,2,3.9825,-377.2410
121,39632979995132933,882622582556644480,36.7002,65.0738,1.2501,2,65.8081,30.1858
122,39628055597024565,72568974319675904,36.5596,49.2378,0.9463,2,58.8321,-227.5281
123,39627811538865400,3855253805571090688,36.4334,31.7160,0.6154,2,22.9359,166.5989
124,39628084600639352,2766719903750203008,36.2958,332.8548,6.4491,2,0.9877,-286.7034
125,39627998084730740,3875948980932816768,36.2619,66.4111,1.2942,2,118.6712,79.5367
126,39627739350700277,3793093048838641152,36.0995,72.4349,0.9207,5,96.7334,109.1367
127,39628313743859390,4556960339716107520,36.0138,333.8752,6.5551,2,365.9999,-148.1051
128,39633165471451720,926292439928597888,35.9486,58.6961,0.7676,4,33.9091,49.8454
129,39627751858113416,3638329060583219840,35.9275,36.2554,0.5487,3,49.8703,103.7073
130,39627972033908648,2568121681134718080,35.9219,29.5346,0.4643,3,18.9584,-83.7328
131,39627893713670894,2563888630087172096,34.9119,55.2025,0.7992,4,83.7672,-36.6192
132,39628387441968360,295104011748022784,34.7266,36.6117,0.7452,2,62.8224,159.5036
133,39627836088124572,3891796860498960768,34.6589,63.9698,1.0478,3,23.9282,36.9014
134,39627983790541265,2578100814308709504,34.6536,42.5769,0.8684,2,18.9507,-13.3503
135,39627954203920002,19334637097239808,34.6316,26.8917,0.5491,2,0.9882,-1.9197
136,39627878953911236,3668389291874886528,34.3300,69.4289,1.4174,2,0.9837,-29.6080
137,39632966057462999,1515138572243173248,34.3239,55.7685,0.9690,3,254.3202,-101.9060
138,39628374750007917,4581881354874051840,34.0853,28.9700,0.5997,2,366.9908,-302.9480
139,39632971279371284,1458953184467535616,33.9820,107.9343,2.2449,2,340.0695,-112.9090
140,39627967646669334,3097060411310661376,33.7622,20.6920,0.4333,2,1.9862,14.9107
141,39627793415275141,3855094062852157184,33.7413,70.1972,0.9237,5,38.9178,73.0160
142,39627771797837631,4226517581866431488,33.5854,29.0322,0.6100,2,241.3263,63.5231
143,39627824260189921,3691197118699941376,33.3294,38.0065,0.8025,2,33.8989,104.0838
144,39627872192692921,3800793856480520704,33.2208,37.7981,0.8045,2,14.9576,91.2326
145,39628031827905805,72154522860130176,33.1129,72.0565,1.5382,2,84.7631,182.2538
146,39628147607475485,4546426709080480128,32.8931,369.0453,7.8602,2,2.9781,-92.6435
147,39627966107355784,2521528162216060288,32.4276,44.0683,0.6801,4,56.8498,-205.3875
148,39628041223144112,4456430788994945024,32.3761,89.7835,1.9588,2,1.9979,47.9923
149,39627945681094859,4438765004391626112,32.3432,21.8659,0.4780,2,1.9815,1.3286
150,39627981798249854,4442920432493231872,32.1995,110.9868,1.4566,5,11.9764,-24.7412
151,39627788696688328,4410518344516247424,32.1495,51.9025,0.8724,3,16.9500,91.8944
152,39628372464108377,867939227539657472,32.1141,15.5513,0.3422,2,26.9189,-14.3961
153,39628071141114874,4540875721549886720,32.0045,15.8832,0.3506,2,379.9676,59.3023
154,39627624326103210,3823628002865715328,31.9960,70.9055,0.8823,5,79.7838,103.3489
155,39627802407863916,2678987259629735552,31.9103,305.3148,6.4960,2,9.9766,-106.1760
156,39632931349594441,1321794159784070400,31.8522,66.7510,1.2010,3,20.9645,-61.8398
157,39628116540262751,615217403311270272,31.7292,35.5537,0.7910,2,34.9070,-54.0753
158,39627842438303976,3712462223337060992,31.5298,20.5408,0.4607,2,76.7931,38.1198
159,39627788591827061,4418774439887584128,31.4365,50.9840,1.0920,2,1.9769,-60.6775
160,39627945773371215,4441010859968104448,31.4255,358.6415,6.0468,3,5.9807,-149.7396
161,39627884519756202,3707042382630745856,31.3570,89.6298,1.7402,3,35.9114,210.7201
162,39627860855489634,3656317444475878912,31.2557,73.6852,1.6664,2,9.9747,15.1602
163,39627973686464511,596074738369296128,31.2367,33.5745,0.7391,2,5.9889,82.8799
164,39628507755581634,1312218513018025472,31.1992,76.4188,1.1693,4,345.0644,-4.6715
165,39627913787608085,579697169075347328,31.1786,13.4106,0.3037,2,135.6287,14.1543
166,39628398414266839,297672672773529856,31.1330,40.3451,0.9160,2,31.9034,82.1702
167,39627690751300586,3780868403682988032,31.0776,66.5838,0.7141,8,109.6966,38.1510
168,39627788298228002,3659959890275621120,30.8370,25.1370,0.5755,2,250.3126,-3.0785
169,39628317267068598,665986944704568832,30.8246,22.4597,0.5148,2,15.9732,49.4533
170,39627860360562252,3706541387581576960,30.7797,30.8700,0.7074,2,14.9472,22.4212
171,39627755725263281,3229261046573541504,30.6584,131.2391,2.9018,2,0.9993,184.5627
172,39632947036296788,4603658552754854528,30.5376,41.9646,0.9717,2,3.9825,-11.5253
173,39627733243791069,3790534523935968512,30.4274,27.8443,0.5400,3,103.7115,-59.4419
174,39627889817157850,3848284482398765824,30.3752,38.9152,0.7406,3,137.6135,226.1413
175,39627708652585295,3826218379245547520,30.3386,94.8014,1.7770,3,0.9884,394.4341
176,2804171296210944,1007698352408588032,30.3116,69.4838,1.1724,5,43.8927,-127.9766
177,39627817100513868,3078449763965033472,30.2829,381.7968,5.8497,3,9.0016,-78.4229
178,39627993609408709,4440373757404039936,30.1054,61.3767,1.4395,2,369.9680,35.6032
179,39627702772171518,3780558478842765568,29.8204,43.8387,1.0083,2,112.6924,240.7726
180,39633000748550328,1516845181792721024,29.8012,40.1455,0.9525,2,31.8976,53.5818
181,39627966195435210,19394560480631168,29.5718,36.5065,0.6472,4,19.9417,37.7604
182,39627630240072263,5757936962082448512,29.4478,59.7871,1.4297,2,16.9537,26.0847
183,39627630856636146,3593370682958736128,29.3951,18.2988,0.4402,2,89.7579,146.7906
184,39627891561994138,4434326722626570624,29.3898,47.5967,1.1451,2,21.9467,78.7012
185,39627892669286666,1732847539605117824,29.3629,111.8168,2.1317,3,3.9846,-73.7822
186,39633154289437764,1350014083487504128,29.2528,95.4532,2.3049,2,0.9868,-164.5627
187,39627708434482919,5762230207096370560,29.2209,299.6174,5.0458,4,34.9011,-28.3565
188,39627836100709060,3891820401215472896,29.1361,41.5667,0.7261,4,33.9084,-19.8160
189,39627622430283850,2466739600883298432,29.0684,41.0862,0.9821,2,34.9095,-105.0800
190,39627587160376511,3185978603843419008,28.9991,35.7129,0.8455,2,20.9572,134.5732
191,39627793604022791,3798066552248049280,28.9432,30.2402,0.5228,4,108.6984,53.1598
192,2803699864829952,1289019642305361536,28.7398,22.8886,0.5531,2,32.8897,-171.7097
193,39628021426030246,600494324140547200,28.2559,54.5753,1.1329,3,85.7641,3.2539
194,39627856430503628,1730967447736460032,28.0540,45.1330,1.0983,2,2.9820,-16.9464
195,39627951481818321,4430565946181543808,27.9003,30.2718,0.7642,2,304.1613,-233.9812
196,39628031811128021,2570323560543900032,27.7733,37.3365,0.7892,3,58.8321,-198.6624
197,39627920607545906,3900262378478009472,27.7378,379.9802,9.6817,2,6.9849,87.6732
198,39628415946457314,872222130270407680,27.5280,31.5022,0.8088,2,47.8537,15.5545
199,39627901724792205,580024441287925888,27.3807,67.7930,1.7465,2,112.6955,137.3248
200,39627790756094381,2642125891790355584,27.3049,37.8598,0.9680,2,3.9971,-218.5245
