rank,targetid,gaia_source_id,S,delta_rv_kms,rv_err_median_kms,n_epochs,mjd_span_days,rv_median_kms
71,39633085251194641,948218518556693760,93.2275,37.9321,0.2873,2,83.7809,32.8068
72,39633025297811682,1484280263014504320,92.6900,82.2972,0.5282,3,31.9090,-41.0501
73,39627823941422728,3796405228833490048,92.5002,44.8944,0.2557,3,78.7908,19.0561
74,39627714549781719,5760056167666428160,91.9322,78.0957,0.5929,2,32.8952,42.3632
75,39633086790503421,1389037817037248128,91.7805,51.2122,0.3933,2,356.0046,-51.4956
76,39633072760554418,1487993794818121600,91.4035,89.1084,0.6893,2,15.9464,-57.6452
77,39627474241326291,3177673580202160128,91.1256,52.8750,0.4059,2,55.8746,89.0602
78,39627792895185603,3077682820244877440,90.9581,196.4625,1.5200,2,0.9693,84.2031
79,39627606470954350,3772311905411850112,90.5151,84.7523,0.6462,2,3.9774,90.7238
80,39633010881987506,1294148520451008896,89.1997,48.5528,0.3774,2,342.0629,-19.5653
81,39627744920734806,3826892654752003968,87.9553,180.2524,1.4380,2,0.9866,-0.4258
82,39627681263782079,6914501041337922944,87.3568,96.9153,0.6815,3,2.9774,-28.5029
83,39627781973217544,3689177071025766016,87.0875,38.8456,0.3154,2,27.9213,20.1611
84,39627829435958806,3847235097333898368,86.7586,100.9378,0.7034,3,16.9786,138.6199
85,39627782073878773,3686915203808730368,86.7237,76.4622,0.6234,2,252.3233,-63.5024
86,39627612259090855,5745787010703086592,85.9471,79.0478,0.6470,2,137.6253,87.0982
87,39627775912448103,3689297437484938368,84.4625,36.6367,0.3067,2,100.7283,11.3700
88,39628291103004303,4565557696008504960,83.1018,78.8116,0.6338,2,1.9927,-87.8487
89,39633533722953353,1130519234365653760,82.7271,75.8189,0.6478,2,49.8555,-36.8456
90,39627781415375637,3806285607823528832,82.2267,73.7949,0.6302,2,4.9734,104.1770
91,39627635021579188,3202351564635275392,82.0737,113.5689,0.9784,2,13.9651,14.7200
92,39627702738619598,3828287733143525248,81.8888,87.4987,0.7555,2,4.9826,99.1455
93,39627721835283768,3645593155950791936,80.9210,107.2074,0.8949,2,49.8624,-122.8845
94,39633311525503973,1564064881174733312,80.6268,75.0345,0.6550,2,329.1056,-0.1868
95,39627849375678967,4385945874541852032,80.3198,64.8976,0.5649,2,0.9935,-38.2557
96,39627745210139276,3802130935635096832,79.8619,146.0699,0.9436,4,38.9003,25.7913
97,39627696707210062,3828224232052153856,79.8496,82.9422,0.7345,2,4.9826,48.4251
98,39627832829154448,2658329669526921088,79.6514,83.7197,0.7428,2,1.9689,-5.3382
99,39627684568894169,3822906963755970432,79.4628,149.1026,0.9222,4,113.6873,-56.3905
100,39627636686722376,3763847998044513408,79.0946,89.4754,0.7877,2,25.9353,46.0186
101,39627875858517328,2515103097299702528,78.8619,103.4991,0.9152,2,71.8069,-30.4620
102,39627925594571313,3093374779615102336,78.8297,50.6511,0.4543,2,5.9754,100.6564
103,39633187751594991,1505878347876130560,78.7542,93.6007,0.8398,2,328.0826,18.5173
104,39628381297312335,1880310710523014528,78.5044,135.3046,1.1831,2,1.0941,-36.5825
105,39627708874883889,3781030134971563648,78.4289,31.2891,0.2805,2,3.9845,26.9457
106,39633535136434454,,78.3120,45.4036,0.4080,2,49.8555,-2.7707
107,39627825170355685,4384150367757934208,78.1750,159.9342,1.4337,2,8.9991,-116.3243
108,39627758392839069,4415536270769458560,77.0720,98.6998,0.9018,2,5.9627,-7.3388
109,2802993866997760,4385100350100553984,76.8877,54.7333,0.4826,2,0.9935,126.4520
110,39633140666336086,1490467111864779264,76.4935,41.3365,0.3815,2,108.6897,-43.8456
111,39633057703004569,811656464263730560,76.2549,32.3326,0.2968,2,81.7737,7.9411
112,39627666378200094,5746570210875050112,75.9975,55.7596,0.5167,2,7.9610,28.7293
113,2803043443671040,2683995092712700928,75.2085,39.4922,0.2749,3,204.4059,-158.6090
114,39633469877259246,1060918086742141184,74.0900,131.6318,1.0987,3,55.9392,37.5289
115,39627660829133358,3785203301290813184,74.0623,46.2485,0.4293,2,0.9968,-13.1905
116,39633233410787725,2120689206761891328,73.6278,84.5738,0.7412,2,0.9670,-7.5320
117,39628256365774551,1249059816338430336,73.0661,45.4883,0.4359,2,0.9879,-16.7766
118,39627885316673996,4425937483268771328,72.9861,57.6870,0.5523,2,2.9627,-42.1718
119,39633187848063014,1494748369624872320,72.4478,78.5292,0.6679,3,356.0155,-72.8745
120,39627859404261114,3079251552755312768,72.3738,46.8054,0.4566,2,53.8461,39.6769
121,39627971920658972,2566566598031217536,72.3632,107.1130,1.0133,2,3.9905,-16.7779
122,2803042114076672,4434428908488644352,72.3360,34.9883,0.3408,2,0.9874,-4.8305
123,39627769235113411,3830911992521521792,72.2353,139.0501,1.3600,2,10.9678,167.9760
124,39627897656315036,4392263943233538048,72.0205,65.5951,0.6351,2,0.9935,-159.6336
125,39628311495706977,674981907594868480,72.0019,51.9813,0.5024,2,52.8474,37.8650
126,39633095132973879,777380220058960896,71.7638,51.1609,0.5041,2,35.8933,-70.2877
127,39627829624701236,3856238482657768576,71.5469,100.2366,0.8914,3,14.9359,60.2298
128,39627666692768181,3777559732676687360,71.2711,66.5259,0.6485,2,24.9517,98.0500
129,2803573754691584,1460036134700711040,70.8913,20.4682,0.2019,2,81.7658,-43.3072
130,39627939049904156,3672567062398063616,70.7888,70.4318,0.7017,2,67.7839,-59.5506
131,39628241161424794,1786353559278793984,70.4269,51.7285,0.5004,2,2.9997,0.8891
132,39627750926979968,3827798652334091392,69.0717,149.9395,1.5277,2,0.9866,48.2287
133,39627854211711352,3892108679420777344,69.0249,31.2691,0.3200,2,12.9811,0.8645
134,39627758413810835,4415405948576701696,69.0068,49.7485,0.3714,3,3.9781,-24.4114
135,39628272207659366,663899517581682176,68.6314,123.2690,1.2479,2,4.9711,43.6322
136,39627815284383887,2558426535493632256,68.4166,52.6798,0.5439,2,11.9961,44.5651
137,39632966581749673,1278834488139590912,68.1225,120.8521,1.2534,2,347.0410,-64.2129
138,39627685374198570,3678211577138392704,67.8364,50.0647,0.5120,2,350.0381,-54.3946
139,39627794262527560,3663690327070081024,67.8021,48.2015,0.5020,2,16.9500,-32.4933
140,39627938135542410,3862985944999191040,67.6472,113.5555,1.1869,2,2.0018,81.3495
141,39627678604591747,3822076042203046016,66.8637,55.7137,0.5860,2,53.8763,-2.4727
142,39633355053991441,1081629106238621056,66.8201,20.0296,0.2104,2,27.0280,-13.7937
143,39627654348932719,3824774346816913280,66.5843,103.2739,1.0949,2,7.9610,50.9085
144,39627766278129314,2653049368013729536,66.3326,51.3189,0.5470,2,88.7989,1.1344
145,39632961385006389,1479744571391909504,65.8267,61.0366,0.6555,2,359.0287,28.2375
146,39627775014863400,3839242854686510976,65.2195,173.9417,1.3394,3,8.9841,-101.1108
147,39632931160851775,1288895393194749952,64.9125,36.9001,0.4018,2,11.9721,4.4835
148,39633325534479674,1563820480355540352,64.6402,66.8579,0.6325,3,28.9711,-24.3261
149,39627721168388315,3787512447507460352,64.3497,330.4592,2.9609,3,122.6665,60.9929
150,39633145049386390,1490527172687137536,64.2747,75.5050,0.8302,2,25.9234,-128.6902
151,39633282538669152,1560234766779542016,64.2301,48.7267,0.5359,2,80.7610,0.4056
152,39633166658439050,1494253142715839616,64.0490,48.4858,0.5233,2,27.9170,-38.5170
153,39628295989363016,1441821659434673152,63.9719,49.2198,0.5378,2,0.9879,47.9230
154,39627733042467114,3781586968891812352,63.9173,266.8214,1.8299,3,32.9160,143.7074
155,39633271415376731,1511871476521032192,63.6964,37.7860,0.3407,3,80.7774,-56.8507
156,39627843012922556,4423977290255120128,63.6112,164.5046,1.8286,2,283.2217,26.6827
157,39627624619708042,3776313608045120768,63.5499,30.8675,0.3395,2,94.7519,10.1194
158,2803764268367872,1474999938199442688,63.5485,34.8996,0.3864,2,4.9960,-230.4990
159,39627862759705381,2683865517843849216,63.5309,112.0495,0.9497,3,204.4059,-101.0240
160,39627814730734330,2657253320657959552,63.5128,168.5561,1.4693,3,83.7932,-153.3776
161,39628517595416893,1285627541557672320,63.3832,179.9148,1.7623,3,335.0783,-134.5064
162,39627836016823456,3796507376039898752,62.9993,74.2494,0.8270,2,55.8414,-13.5686
163,39633476638475550,1072497902687723392,62.8728,42.8694,0.4725,2,79.6894,13.9075
164,39633362184310492,1577289669594364416,62.8564,36.7196,0.4020,2,54.8940,-35.7986
165,39633109674623918,1384068746034555264,62.7966,79.4594,0.8790,2,1.9900,-141.5724
166,39633054053960111,1296253290648533504,62.6781,72.5584,0.8176,2,57.8536,-26.5716
167,39628502214904722,1282326949389173888,62.5835,27.6899,0.3116,2,82.7681,-27.3786
168,39628471118332346,1320267419169209088,62.4340,52.2045,0.5911,2,18.9816,-119.4808
169,2803084308774912,4440711380490119936,62.2848,36.3569,0.4108,2,0.9912,-79.2477
170,39627835823886578,3805488706707220480,62.2438,54.0662,0.6127,2,21.9361,45.1425
171,39627582806688056,3783352617062601088,62.1545,45.1716,0.5137,2,8.0142,40.8661
172,39633109326497734,1498712074683093760,61.9910,24.3496,0.2774,2,56.8480,-43.0748
173,2803257260900352,4540744570428873728,61.9771,27.9921,0.3093,2,0.9699,-11.1863
174,39633162459942122,1585950866284186240,61.9462,41.0036,0.4581,2,357.0130,-26.0420
175,39628238019887593,662513690551703168,61.8357,36.2098,0.4129,2,4.9711,32.5633
176,39627812881044997,4411074074626423552,61.6202,155.3097,1.7785,2,0.9942,31.3770
177,39633224132987082,832285879380693120,61.4322,40.7634,0.4652,2,135.6256,2.3012
178,39627799467657025,3807163980175177216,61.1668,93.6280,1.0817,2,93.7357,-20.3486
179,39628256873284170,1215994168799535744,61.1264,41.6099,0.4556,2,11.9725,-45.9740
180,39632951314483369,1478228722816616704,60.9579,42.3752,0.4908,2,47.8733,-23.4905
181,39633455725675056,1681143215762465024,60.6670,63.0462,0.7317,2,107.6952,-62.9736
182,39632941327845226,1289737103705431424,60.6019,115.5039,1.3410,2,15.9526,-58.5058
183,39633091127413768,1497897061688959360,59.6935,32.8866,0.3860,2,55.8321,-48.7286
184,39627823924644855,3796386468416388992,59.4944,30.7611,0.3656,2,28.9096,52.5202
185,39633377376076217,1083699211755548672,59.4871,77.1955,0.8739,2,27.0280,-50.5461
186,39627830719417048,3655279093184351232,58.7140,117.8584,1.3902,2,1.9665,-13.2033
187,39627824901917800,4423678811503639296,58.1915,40.8457,0.4807,2,6.9937,3.5827
188,39627693477594704,6911824795676129536,57.9693,361.3632,4.4079,2,2.0086,-21.3632
189,39628408488985455,1880759723584022528,57.9631,119.6161,0.9882,3,12.9634,-38.4035
190,39632961250787895,1470606702051903872,57.7984,72.7609,0.8891,2,282.2248,27.8407
191,39627744882985692,3827412006492219136,57.7947,33.3999,0.4020,2,0.9866,25.3433
192,39627866912065510,3656657472741655552,57.5863,75.5696,0.9277,2,24.9396,-73.8146
193,39633278398893206,837199734285015936,57.3227,30.6732,0.3766,2,81.7757,71.7156
194,39627745180782892,3802814866226931712,57.2564,48.8797,0.6020,2,17.9478,70.4331
195,39628204184437704,3971500771929216640,57.2500,52.0433,0.6273,2,33.8725,13.0757
196,39627497368720616,5171601220972610688,57.2398,37.3526,0.4496,2,29.9326,-20.3517
197,39633335760194426,1576465860507948800,57.1749,27.8686,0.3446,2,24.9279,-83.7840
198,39627848687815451,3667480034413245184,57.1205,57.1936,0.6950,2,284.2141,8.3157
199,39627599005093864,3195946771964633472,57.0859,51.6231,0.6329,2,5.9740,-10.3532
200,39633297097099605,1570650096831782528,57.0235,33.1871,0.4114,2,27.9167,-78.4707
